,PAHO Sub-Region,ISO-3,Country / territory,IFRC Sub-Region,Population,Tracker Update Date,Data Publication Date,EPI Week (year),EPI Week (outbreak),Cases
Suspected,Non Latin Caribbean,BRB,Barbados,Americas,283380,1st March 2016,25th February 2016,8,23,0
Confirmed,Andean,BOL,Bolivia,Americas,10561887,1st March 2016,25th February 2016,8,23,1
Deaths,Andean,BOL,Bolivia,Americas,10561887,1st March 2016,25th February 2016,8,23,0
Suspected,Andean,BOL,Bolivia,Americas,10561887,1st March 2016,25th February 2016,8,23,0
Confirmed,Non Latin Caribbean,BES,Bonaire,Americas,17408,1st March 2016,25th February 2016,8,23,1
Deaths,Non Latin Caribbean,BES,Bonaire,Americas,17408,1st March 2016,25th February 2016,8,23,0
Suspected,Non Latin Caribbean,BES,Bonaire,Americas,17408,1st March 2016,25th February 2016,8,23,0
Confirmed,South Cone,BRA,Brazil,Americas,206077898,1st March 2016,25th February 2016,8,23,534
Deaths,South Cone,BRA,Brazil,Americas,206077898,1st March 2016,25th February 2016,8,23,4
Suspected,South Cone,BRA,Brazil,Americas,206077898,1st March 2016,25th February 2016,8,23,72062
Confirmed,Andean,COL,Colombia,Americas,47791393,1st March 2016,25th February 2016,8,23,1612
Deaths,Andean,COL,Colombia,Americas,47791393,1st March 2016,25th February 2016,8,23,3
Suspected,Andean,COL,Colombia,Americas,47791393,1st March 2016,25th February 2016,8,23,35399
Confirmed,Central America,CRI,Costa Rica,Americas,4757606,1st March 2016,25th February 2016,8,23,3
Deaths,Central America,CRI,Costa Rica,Americas,4757606,1st March 2016,25th February 2016,8,23,0
Suspected,Central America,CRI,Costa Rica,Americas,4757606,1st March 2016,25th February 2016,8,23,0
Confirmed,Non Latin Caribbean,CUW,Curaçao,Americas,155872,1st March 2016,25th February 2016,8,23,1
Deaths,Non Latin Caribbean,CUW,Curaçao,Americas,155872,1st March 2016,25th February 2016,8,23,0
Suspected,Non Latin Caribbean,CUW,Curaçao,Americas,155872,1st March 2016,25th February 2016,8,23,0
Confirmed,Latin Caribbean,DOM,Dominican Republic,Americas,10405943,1st March 2016,25th February 2016,8,23,18
Deaths,Latin Caribbean,DOM,Dominican Republic,Americas,10405943,1st March 2016,25th February 2016,8,23,0
Suspected,Latin Caribbean,DOM,Dominican Republic,Americas,10405943,1st March 2016,25th February 2016,8,23,305
Confirmed,Andean,ECU,Ecuador,Americas,15902916,1st March 2016,25th February 2016,8,23,25
Deaths,Andean,ECU,Ecuador,Americas,15902916,1st March 2016,25th February 2016,8,23,0
Suspected,Andean,ECU,Ecuador,Americas,15902916,1st March 2016,25th February 2016,8,23,0
Confirmed,Central America,SLV,El Salvador,Americas,6107706,1st March 2016,25th February 2016,8,23,3
Deaths,Central America,SLV,El Salvador,Americas,6107706,1st March 2016,25th February 2016,8,23,0
Suspected,Central America,SLV,El Salvador,Americas,6107706,1st March 2016,25th February 2016,8,23,8584
Confirmed,Latin Caribbean,GUF,French Guiana,Americas,237549,1st March 2016,25th February 2016,8,23,99
Deaths,Latin Caribbean,GUF,French Guiana,Americas,237549,1st March 2016,25th February 2016,8,23,0
Suspected,Latin Caribbean,GUF,French Guiana,Americas,237549,1st March 2016,25th February 2016,8,23,790
Confirmed,Latin Caribbean,GLP,Guadeloupe,Americas,404635,1st March 2016,25th February 2016,8,23,25
Deaths,Latin Caribbean,GLP,Guadeloupe,Americas,404635,1st March 2016,25th February 2016,8,23,0
Suspected,Latin Caribbean,GLP,Guadeloupe,Americas,404635,1st March 2016,25th February 2016,8,23,221
Confirmed,Central America,GTM,Guatemala,Americas,16015494,1st March 2016,25th February 2016,8,23,105
Deaths,Central America,GTM,Guatemala,Americas,16015494,1st March 2016,25th February 2016,8,23,0
Suspected,Central America,GTM,Guatemala,Americas,16015494,1st March 2016,25th February 2016,8,23,278
Confirmed,Non Latin Caribbean,GUY,Guyana,Americas,763893,1st March 2016,25th February 2016,8,23,1
Deaths,Non Latin Caribbean,GUY,Guyana,Americas,763893,1st March 2016,25th February 2016,8,23,0
Suspected,Non Latin Caribbean,GUY,Guyana,Americas,763893,1st March 2016,25th February 2016,8,23,0
Confirmed,Latin Caribbean,HTI,Haiti,Americas,10572029,1st March 2016,25th February 2016,8,23,5
Deaths,Latin Caribbean,HTI,Haiti,Americas,10572029,1st March 2016,25th February 2016,8,23,0
Suspected,Latin Caribbean,HTI,Haiti,Americas,10572029,1st March 2016,25th February 2016,8,23,329
Confirmed,Central America,HND,Honduras,Americas,7961680,1st March 2016,25th February 2016,8,23,2
Deaths,Central America,HND,Honduras,Americas,7961680,1st March 2016,25th February 2016,8,23,0
Suspected,Central America,HND,Honduras,Americas,7961680,1st March 2016,25th February 2016,8,23,4590
Confirmed,Non Latin Caribbean,JAM,Jamaica,Americas,2721252,1st March 2016,25th February 2016,8,23,1
Deaths,Non Latin Caribbean,JAM,Jamaica,Americas,2721252,1st March 2016,25th February 2016,8,23,0
Suspected,Non Latin Caribbean,JAM,Jamaica,Americas,2721252,1st March 2016,25th February 2016,8,23,0
Confirmed,Latin Caribbean,MTQ,Martinique,Americas,392291,1st March 2016,25th February 2016,8,23,12
Deaths,Latin Caribbean,MTQ,Martinique,Americas,392291,1st March 2016,25th February 2016,8,23,0
Suspected,Latin Caribbean,MTQ,Martinique,Americas,392291,1st March 2016,25th February 2016,8,23,6050
Confirmed,North America,MEX,Mexico,Americas,125385833,1st March 2016,25th February 2016,8,23,93
Deaths,North America,MEX,Mexico,Americas,125385833,1st March 2016,25th February 2016,8,23,0
Suspected,North America,MEX,Mexico,Americas,125385833,1st March 2016,25th February 2016,8,23,0
Confirmed,Central America,NIC,Nicaragua,Americas,6013913,1st March 2016,25th February 2016,8,23,66
Deaths,Central America,NIC,Nicaragua,Americas,6013913,1st March 2016,25th February 2016,8,23,0
Suspected,Central America,NIC,Nicaragua,Americas,6013913,1st March 2016,25th February 2016,8,23,0
Confirmed,Central America,PAN,Panama,Americas,3867535,1st March 2016,25th February 2016,8,23,86
Deaths,Central America,PAN,Panama,Americas,3867535,1st March 2016,25th February 2016,8,23,0
Suspected,Central America,PAN,Panama,Americas,3867535,1st March 2016,25th February 2016,8,23,0
Confirmed,South Cone,PRY,Paraguay,Americas,6552518,1st March 2016,25th February 2016,8,23,6
Deaths,South Cone,PRY,Paraguay,Americas,6552518,1st March 2016,25th February 2016,8,23,0
Suspected,South Cone,PRY,Paraguay,Americas,6552518,1st March 2016,25th February 2016,8,23,0
Confirmed,Latin Caribbean,PRI,Puerto Rico,Americas,3548397,1st March 2016,25th February 2016,8,23,30
Deaths,Latin Caribbean,PRI,Puerto Rico,Americas,3548397,1st March 2016,25th February 2016,8,23,0
Suspected,Latin Caribbean,PRI,Puerto Rico,Americas,3548397,1st March 2016,25th February 2016,8,23,0
Confirmed,Non Latin Caribbean,VCT,Saint Vincent and the Grenadines,Americas,109360,1st March 2016,25th February 2016,8,23,1
Deaths,Non Latin Caribbean,VCT,Saint Vincent and the Grenadines,Americas,109360,1st March 2016,25th February 2016,8,23,0
Suspected,Non Latin Caribbean,VCT,Saint Vincent and the Grenadines,Americas,109360,1st March 2016,25th February 2016,8,23,0
Confirmed,Latin Caribbean,MAF,Saint-Martin (French),Americas,31530,1st March 2016,25th February 2016,8,23,7
Deaths,Latin Caribbean,MAF,Saint-Martin (French),Americas,31530,1st March 2016,25th February 2016,8,23,0
Suspected,Latin Caribbean,MAF,Saint-Martin (French),Americas,31530,1st March 2016,25th February 2016,8,23,0
Confirmed,Non Latin Caribbean,SXM,Sint Maarten,Americas,33609,1st March 2016,25th February 2016,8,23,2
Deaths,Non Latin Caribbean,SXM,Sint Maarten,Americas,33609,1st March 2016,25th February 2016,8,23,0
Suspected,Non Latin Caribbean,SXM,Sint Maarten,Americas,33609,1st March 2016,25th February 2016,8,23,0
Confirmed,Non Latin Caribbean,SUR,Suriname,Americas,538248,1st March 2016,25th February 2016,8,23,6
Deaths,Non Latin Caribbean,SUR,Suriname,Americas,538248,1st March 2016,25th February 2016,8,23,4
Suspected,Non Latin Caribbean,SUR,Suriname,Americas,538248,1st March 2016,25th February 2016,8,23,1097
Confirmed,Non Latin Caribbean,TTO,Trinidad and Tobago,Americas,1354483,1st March 2016,25th February 2016,8,23,1
Deaths,Non Latin Caribbean,TTO,Trinidad and Tobago,Americas,1354483,1st March 2016,25th February 2016,8,23,0
Suspected,Non Latin Caribbean,TTO,Trinidad and Tobago,Americas,1354483,1st March 2016,25th February 2016,8,23,0
Confirmed,Non Latin Caribbean,VIR,United States Virgin Islands,Americas,104170,1st March 2016,25th February 2016,8,23,4
Deaths,Non Latin Caribbean,VIR,United States Virgin Islands,Americas,104170,1st March 2016,25th February 2016,8,23,0
Suspected,Non Latin Caribbean,VIR,United States Virgin Islands,Americas,104170,1st March 2016,25th February 2016,8,23,59
Confirmed,Andean,VEN,Venezuela (Bolivarian Republic of),Americas,30693827,1st March 2016,25th February 2016,8,23,4
Deaths,Andean,VEN,Venezuela (Bolivarian Republic of),Americas,30693827,1st March 2016,25th February 2016,8,23,1
Suspected,Andean,VEN,Venezuela (Bolivarian Republic of),Americas,30693827,1st March 2016,25th February 2016,8,23,4696
Confirmed,Non Latin Caribbean,ABW,Aruba,Americas,103441,8th March 2016,3rd March 2016,9,24,4
Deaths,Non Latin Caribbean,ABW,Aruba,Americas,103441,8th March 2016,3rd March 2016,9,24,0
Suspected,Non Latin Caribbean,ABW,Aruba,Americas,103441,8th March 2016,3rd March 2016,9,24,0
Confirmed,Non Latin Caribbean,BRB,Barbados,Americas,283380,8th March 2016,3rd March 2016,9,24,9
